# Текстовые стили файла «Элементы · Основа стилей» (Roboto), сверено 2026-09-21.
# имя стиля<TAB>начертание<TAB>база переменных L2 (…/size, …/line-height, …/letter-spacing, …/weight)
typography/page/title	Bold	typography/page/title
typography/page/default	Bold	typography/page/default
typography/page/caption	Regular	typography/page/caption
typography/section/title	Bold	typography/section/title
typography/section/default	SemiBold	typography/section/default
typography/section/caption	Regular	typography/section/caption
typography/section/overline	SemiBold	typography/section/overline
typography/content/title	SemiBold	typography/content/title
typography/content/body/large	Regular	typography/content/body/large
typography/content/body/strong	SemiBold	typography/content/body/strong
typography/content/body/default	Regular	typography/content/body/default
typography/content/body/caption	Regular	typography/content/body/caption
typography/content/label/large	SemiBold	typography/content/label/large
typography/content/label/default	SemiBold	typography/content/label/default
typography/content/label/caption	Regular	typography/content/label/caption
typography/action/button/xl	Regular	typography/button/xl
typography/action/button/l	Regular	typography/button/l
typography/action/button/m	Regular	typography/button/m
typography/action/button/s	Regular	typography/button/s
typography/action/chip/s/head	Regular	typography/chip/s/head
typography/action/chip/s/name	Regular	typography/chip/s/name
typography/action/chip/s/description	Regular	typography/chip/s/description
typography/action/chip/m/head	Regular	typography/chip/m/head
typography/action/chip/m/name	Regular	typography/chip/m/name
typography/action/chip/m/description	Regular	typography/chip/m/description
typography/action/link/regular/xl	Regular	typography/link/xl
typography/action/link/regular/l	Regular	typography/link/l
typography/action/link/regular/m	Regular	typography/link/m
typography/action/link/regular/s	Regular	typography/link/s
typography/action/link/underline/xl	Regular	typography/link/xl
typography/action/link/underline/l	Regular	typography/link/l
typography/action/link/underline/m	Regular	typography/link/m
typography/action/link/underline/s	Regular	typography/link/s
typography/action/checkbox/l/name	Regular	typography/checkbox/l/name
typography/action/checkbox/l/description	Regular	typography/checkbox/l/description
typography/action/checkbox/m/name	Regular	typography/checkbox/m/name
typography/action/checkbox/m/description	Regular	typography/checkbox/m/description
typography/action/radiobutton/l/name	Regular	typography/radiobutton/l/name
typography/action/radiobutton/l/description	Regular	typography/radiobutton/l/description
typography/action/radiobutton/m/name	Regular	typography/radiobutton/m/name
typography/action/radiobutton/m/description	Regular	typography/radiobutton/m/description
typography/action/switch/l/name	Regular	typography/switch/l/name
typography/action/switch/l/description	Regular	typography/switch/l/description
typography/action/switch/m/name	Regular	typography/switch/m/name
typography/action/switch/m/description	Regular	typography/switch/m/description
typography/status/l	Regular	typography/status/l
typography/status/m	Regular	typography/status/m
typography/avatar/2xl/name	Regular	typography/avatar/2xl/name
typography/avatar/2xl/description	Regular	typography/avatar/2xl/description
typography/avatar/2xl/initials	Medium	typography/avatar/2xl/initials
typography/avatar/2xl/more	Medium	typography/avatar/2xl/more
typography/avatar/2xl/counter	SemiBold	typography/avatar/2xl/counter
typography/avatar/xl/name	Regular	typography/avatar/xl/name
typography/avatar/xl/description	Regular	typography/avatar/xl/description
typography/avatar/xl/initials	Medium	typography/avatar/xl/initials
typography/avatar/xl/more	Medium	typography/avatar/xl/more
typography/avatar/xl/counter	SemiBold	typography/avatar/xl/counter
typography/avatar/l/name	Regular	typography/avatar/l/name
typography/avatar/l/description	Regular	typography/avatar/l/description
typography/avatar/l/initials	SemiBold	typography/avatar/l/initials
typography/avatar/l/more	SemiBold	typography/avatar/l/more
typography/avatar/l/counter	SemiBold	typography/avatar/l/counter
typography/avatar/m/name	Regular	typography/avatar/m/name
typography/avatar/m/description	Regular	typography/avatar/m/description
typography/avatar/m/initials	Bold	typography/avatar/m/initials
typography/avatar/m/more	SemiBold	typography/avatar/m/more
typography/avatar/m/counter	SemiBold	typography/avatar/m/counter
typography/avatar/s/name	Regular	typography/avatar/s/name
typography/avatar/s/initials	Bold	typography/avatar/s/initials
typography/badge/s/name	Regular	typography/badge/s/name
typography/badge/s/counter	SemiBold	typography/badge/s/counter
typography/badge/m/name	Regular	typography/badge/m/name
typography/badge/m/counter	SemiBold	typography/badge/m/counter
typography/divider/m	Regular	typography/divider/m
typography/divider/s	Regular	typography/divider/s
typography/field/select/text/l	Regular	typography/field/select/text/l
typography/field/select/text/m	Regular	typography/field/select/text/m
typography/field/select/text/s	Regular	typography/field/select/text/s
typography/field/select/option/l	Regular	typography/field/select/option/l
typography/field/select/option/m	Regular	typography/field/select/option/m
typography/field/select/option/s	Regular	typography/field/select/option/s
typography/field/select/option_title/l	Medium	typography/field/select/option-title/l
typography/field/select/option_title/m	Medium	typography/field/select/option-title/m
typography/field/select/option_title/s	Medium	typography/field/select/option-title/s
typography/field/select/hint/l	Regular	typography/field/select/hint/l
typography/field/select/hint/m	Regular	typography/field/select/hint/m
typography/field/select/hint/s	Regular	typography/field/select/hint/s
typography/field/input/text/l	Regular	typography/field/input/text/l
typography/field/input/text/m	Regular	typography/field/input/text/m
typography/field/input/text/s	Regular	typography/field/input/text/s
typography/field/input/prefix/l	Regular	typography/field/input/prefix/l
typography/field/input/prefix/m	Regular	typography/field/input/prefix/m
typography/field/input/prefix/s	Regular	typography/field/input/prefix/s
typography/field/input/suffix/l	Regular	typography/field/input/suffix/l
typography/field/input/suffix/m	Regular	typography/field/input/suffix/m
typography/field/input/suffix/s	Regular	typography/field/input/suffix/s
typography/field/label/title/l	Regular	typography/field/label/title/l
typography/field/label/title/m	Regular	typography/field/label/title/m
typography/field/label/title/s	Regular	typography/field/label/title/s
typography/field/label/additional/l	Regular	typography/field/label/additional/l
